I-0,I-1,Desired,O-0,O-1,O-2,O-3,Actual,Correct
0.65194,0.52466,0,0.722488,0.0218421,0.00322219,0.334305,0,1
0.76971,0.66388,0,0.91892,0.0938185,0.000622879,0.143089,0,1
0.55021,0.73703,0,0.814962,0.267478,0.00159566,0.0531391,0,1
0.71138,0.70848,0,0.920929,0.102282,0.000602077,0.134219,0,1
0.66542,0.54944,0,0.814095,0.0378014,0.00180109,0.250455,0,1
0.4923,0.49057,0,0.0814008,0.0900564,0.0987863,0.102302,-1,0
0.52573,0.4706,0,0.11688,0.0194455,0.07209,0.299316,-1,0
0.59357,0.53088,0,0.667303,0.0350971,0.00414436,0.249399,0,1
0.5246,0.54819,0,0.454113,0.165184,0.00964199,0.0735464,-1,0
0.53625,0.4895,0,0.218404,0.0267947,0.0333107,0.259459,-1,0
0.65179,0.62656,0,0.897962,0.0925138,0.000816013,0.141935,0,1
0.69016,0.64023,0,0.909785,0.0912503,0.000706423,0.144866,0,1
0.59803,0.50062,0,0.506951,0.0141745,0.00881766,0.397357,-1,0
0.6144,0.56461,0,0.81247,0.0596681,0.00177721,0.185295,0,1
0.77932,0.707,0,0.92299,0.099525,0.000584908,0.137363,0,1
0.46829,0.5345,0,0.119575,0.429457,0.0589415,0.0227734,-1,0
0.67874,0.56789,0,0.85536,0.0509834,0.00128752,0.210686,0,1
0.55469,0.65276,0,0.805715,0.228629,0.00171952,0.0618939,0,1
0.46584,0.48569,0,0.0363251,0.154693,0.20882,0.0607906,-1,0
0.51442,0.56997,0,0.476129,0.286647,0.00846913,0.0434018,-1,0
0.45287,0.7901,0,0.293555,0.855431,0.0168209,0.00490192,1,0
0.43121,0.80921,0,0.211074,0.908621,0.0259318,0.00312048,1,0
0.58439,0.62956,0,0.852606,0.14242,0.00124356,0.0974324,0,1
0.36607,0.53514,0,0.0272898,0.792898,0.236024,0.00550253,1,0
0.76263,0.66827,0,0.919344,0.0947712,0.000618751,0.142058,0,1
0.63943,0.61356,0,0.887298,0.0893885,0.00092047,0.144471,0,1
0.44372,0.64359,0,0.212801,0.863934,0.0262409,0.00446636,1,0
0.82653,0.79508,0,0.925472,0.102438,0.000562318,0.134703,0,1
0.46322,0.42841,0,0.00968043,0.0397638,0.545467,0.159161,-1,0
0.54653,0.52224,0,0.444913,0.0563445,0.0106612,0.171135,-1,0
0.75044,0.60396,0,0.900003,0.0728392,0.000807519,0.169551,0,1
0.66117,0.64096,0,0.905306,0.0961318,0.000745516,0.138707,0,1
0.7655,0.66498,0,0.918976,0.0940946,0.000622283,0.142779,0,1
0.53408,0.6887,0,0.750392,0.339218,0.00235299,0.0397019,0,1
0.56361,0.80463,0,0.850432,0.220709,0.0012321,0.0656911,0,1
0.69962,0.54262,0,0.808753,0.0319193,0.00188618,0.277092,0,1
0.49283,0.56034,0,0.302843,0.394869,0.0179594,0.0280696,-1,0
0.65125,0.53204,0,0.751909,0.0264218,0.00271448,0.303263,0,1
0.70993,0.61967,0,0.904833,0.0815643,0.000756915,0.156803,0,1
0.70173,0.65274,0,0.913877,0.0939296,0.000668057,0.142267,0,1
0.72037,0.57373,0,0.871445,0.0539781,0.00111,0.204688,0,1
0.59516,0.39673,0,0.101974,0.00100104,0.0964237,0.821387,3,0
0.76756,0.61976,0,0.908211,0.0804069,0.00072605,0.158914,0,1
0.63219,0.58016,0,0.853377,0.0677014,0.00128933,0.173158,0,1
0.5396,0.45523,0,0.112998,0.00877942,0.0777933,0.448024,-1,0
0.5834,0.53133,0,0.643077,0.0395606,0.00461405,0.229595,0,1
0.53767,0.69195,0,0.765636,0.320303,0.00216356,0.0426899,0,1
0.57367,0.60159,0,0.810176,0.135877,0.00172318,0.0989844,0,1
0.64268,0.82523,0,0.914567,0.119942,0.000652547,0.117655,0,1
0.73004,0.60554,0,0.899581,0.0738867,0.000810905,0.167765,0,1
0.57677,0.61146,0,0.826802,0.140498,0.00152667,0.0970913,0,1
0.55872,0.60347,0,0.775235,0.17081,0.0021313,0.0799451,0,1
0.65731,0.58411,0,0.869976,0.0653774,0.00111375,0.17925,0,1
0.57977,0.62717,0,0.844221,0.148271,0.00132965,0.0936884,0,1
0.48216,0.63997,0,0.405218,0.680108,0.0105407,0.0115292,1,0
0.56086,0.58797,0,0.757045,0.144034,0.00239912,0.0919605,0,1
0.47974,0.59876,0,0.327903,0.630807,0.0151433,0.01332,1,0
0.70146,0.75693,0,0.92206,0.105895,0.000590953,0.130808,0,1
0.66728,0.55865,0,0.835372,0.0446781,0.00152609,0.227407,0,1
0.61974,0.73454,0,0.904275,0.130657,0.000741711,0.108718,0,1
0.45463,0.64265,0,0.254934,0.827755,0.0208268,0.00568952,1,0
0.55518,0.56859,0,0.691835,0.124616,0.00342777,0.101168,0,1
0.47392,0.5517,0,0.181873,0.492223,0.0352842,0.0194716,-1,0
0.652,0.52917,0,0.741332,0.0245502,0.00289181,0.315122,0,1
0.26159,0.58676,0,0.0475083,0.933118,0.135366,0.00206095,1,0
0.58768,0.60998,0,0.843134,0.122974,0.00135642,0.109394,0,1
0.74301,0.81147,0,0.924575,0.104105,0.000569578,0.132904,0,1
0.61893,0.59371,0,0.860276,0.0839192,0.00119998,0.148742,0,1
0.35526,0.45128,0,0.00340582,0.239453,0.767988,0.0329642,2,0
0.60396,0.52364,0,0.654725,0.026538,0.00446434,0.294043,0,1
0.58076,0.46872,0,0.269396,0.00620199,0.026944,0.540712,-1,0
0.51139,0.47175,0,0.0851397,0.0298762,0.0995136,0.225618,-1,0
0.5169,0.82775,0,0.69288,0.455002,0.00311302,0.0266009,0,0
0.50486,0.73639,0,0.608968,0.549757,0.00452372,0.0191503,0,0
0.69086,0.54034,0,0.79962,0.03048,0.00201108,0.283776,0,1
0.54608,0.6376,0,0.769746,0.251094,0.0021486,0.0554255,0,1
0.57622,0.68899,0,0.861219,0.181927,0.00113673,0.0791648,0,1
0.61944,0.62428,0,0.883098,0.104565,0.000953283,0.12773,0,1
0.53104,0.73975,0,0.749434,0.364782,0.00235217,0.0364029,0,1
0.57404,0.59118,0,0.796824,0.123187,0.00189633,0.106624,0,1
0.55743,0.56833,0,0.699601,0.119489,0.00330498,0.105002,0,1
0.60943,0.58304,0,0.839128,0.0795608,0.00143577,0.152865,0,1
0.49107,0.55196,0,0.263853,0.367475,0.0220802,0.0302316,-1,0
0.47993,0.41295,0,0.0117447,0.0189547,0.503413,0.261648,-1,0
0.69558,0.2615,0,0.0897015,0.000301042,0.116661,0.922434,3,0
0.50393,0.51642,0,0.193536,0.135225,0.0357217,0.0792791,-1,0
0.73564,0.60606,0,0.900267,0.0740731,0.000804242,0.167553,0,1
0.60598,0.70556,0,0.894303,0.139932,0.000830593,0.101846,0,1
0.59441,0.66282,0,0.877696,0.144192,0.000987907,0.0980526,0,1
0.69008,0.68274,0,0.917226,0.101377,0.000635175,0.134641,0,1
0.57203,0.50329,0,0.443149,0.020789,0.0113247,0.320709,-1,0
0.55449,0.41476,0,0.0742812,0.00248735,0.128436,0.682676,3,0
0.68776,0.71395,0,0.919402,0.105272,0.000614527,0.131052,0,1
0.50614,0.56633,0,0.408271,0.326053,0.0112186,0.0367837,-1,0
0.56378,0.60347,0,0.789311,0.158156,0.0019613,0.0860983,0,1
0.5884,0.69568,0,0.877843,0.16079,0.000979943,0.0893316,0,1
0.55899,0.51299,0,0.449941,0.0342867,0.0107162,0.238712,-1,0
0.69676,0.59161,0,0.886409,0.0667756,0.000944478,0.178533,0,1
0.7581,0.63596,0,0.913091,0.0866089,0.000678284,0.151094,0,1
0.56256,0.56352,0,0.703647,0.10212,0.00326745,0.119222,0,1
0.50836,0.70429,0,0.62192,0.519401,0.00429553,0.0211717,0,0
0.62063,0.9002,0,0.907789,0.131332,0.00070961,0.108603,0,1
0.40984,0.54062,0,0.0459515,0.750164,0.149604,0.0069922,1,0
0.67889,0.71005,0,0.918199,0.106313,0.00062481,0.129895,0,1
0.66911,0.65412,0,0.910099,0.0986473,0.000700429,0.136573,0,1
0.62194,0.39073,0,0.116743,0.00073897,0.0844286,0.855948,3,0
0.64294,0.80045,0,0.914353,0.119702,0.000654525,0.11782,0,1
0.52634,0.62524,0,0.671582,0.339612,0.00354266,0.0384028,0,1
0.31531,0.67541,0,0.0856811,0.963394,0.0718345,0.00131033,1,0
0.71873,0.63959,0,0.912154,0.0888873,0.000685821,0.148066,0,1
0.63207,0.37509,0,0.107919,0.000582437,0.0930426,0.87708,3,0
0.60422,0.74412,0,0.8958,0.144821,0.000814934,0.0990736,0,1
0.49115,0.60997,0,0.422575,0.570911,0.0100119,0.0167918,-1,0
0.69555,0.5234,0,0.742307,0.0201882,0.00290601,0.350764,0,1
0.62672,0.6112,0,0.879781,0.0929304,0.00099271,0.139534,0,1
0.82367,0.63204,0,0.913612,0.0853935,0.000674094,0.152761,0,1
0.64111,0.5654,0,0.835635,0.0532282,0.00150859,0.202586,0,1
0.66284,0.60926,0,0.892298,0.081111,0.000876639,0.155878,0,1
0.58191,0.66647,0,0.864207,0.164565,0.00111356,0.0867105,0,1
0.5049,0.52241,0,0.221732,0.153204,0.0297151,0.0721496,-1,0
0.7897,0.63474,0,0.913658,0.0860867,0.000673363,0.151854,0,1
0.55133,0.48497,0,0.255965,0.0166957,0.0275312,0.344357,-1,0
0.5506,0.52104,0,0.458462,0.0502814,0.0101258,0.185936,-1,0
0.64542,0.62641,0,0.895934,0.0942746,0.0008344,0.139693,0,1
0.41843,0.62772,0,0.137581,0.906755,0.0441885,0.00303838,1,0
0.69306,0.66511,0,0.915256,0.0977725,0.000654129,0.138171,0,1
0.6961,0.73271,0,0.920982,0.105466,0.000600544,0.131075,0,1
0.60117,0.6568,0,0.882272,0.134163,0.000947474,0.104491,0,1
0.49235,0.57124,0,0.335469,0.44565,0.0151821,0.024159,-1,0
0.53946,0.64347,0,0.749526,0.286299,0.00239483,0.0479338,0,1
0.45039,0.62635,0,0.222831,0.831038,0.0250046,0.00550143,1,0
0.39491,0.63703,0,0.111054,0.934508,0.0555415,0.00219058,1,0
0.61106,0.66227,0,0.891048,0.126533,0.000866356,0.11038,0,1
0.65112,0.50618,0,0.628003,0.0129009,0.00524417,0.426204,0,0
0.71169,0.75502,0,0.922655,0.104888,0.000586071,0.131865,0,1
0.60823,0.45174,0,0.248135,0.00285514,0.0314226,0.685097,3,0
0.74673,0.7564,0,0.924031,0.102968,0.000574678,0.13396,0,1
0.37095,0.50516,0,0.0137909,0.600204,0.405029,0.0109038,1,0
0.70945,0.31732,0,0.099244,0.000332875,0.104467,0.91721,3,0
0.57353,0.63099,0,0.835983,0.162746,0.00141124,0.0860397,0,1
0.74715,0.74362,0,0.923755,0.102498,0.000577236,0.134396,0,1
0.57662,0.6698,0,0.85753,0.175912,0.00117674,0.0813903,0,1
0.64665,0.60715,0,0.88608,0.0833732,0.000936105,0.152044,0,1
0.72669,0.48035,0,0.516994,0.0055472,0.00887125,0.58538,-1,0
0.66896,0.55933,0,0.837345,0.0450825,0.00150214,0.2263,0,1
0.73963,0.61222,0,0.903679,0.0771462,0.000770128,0.163154,0,1
0.75443,0.72897,0,0.923493,0.101565,0.000579831,0.135308,0,1
0.48637,0.48302,0,0.0578659,0.0850905,0.139779,0.103983,-1,0
0.52824,0.62671,0,0.683202,0.330047,0.00335564,0.0398678,0,1
0.69457,0.56717,0,0.858113,0.0497308,0.00125887,0.21452,0,1
0.83226,0.65761,0,0.918966,0.0923866,0.000623017,0.144768,0,1
0.72415,0.55137,0,0.835407,0.0379649,0.00153911,0.252174,0,1
0.5455,0.63767,0,0.767772,0.253612,0.00217261,0.0548191,0,1
0.42799,0.62892,0,0.157616,0.891854,0.0378543,0.0035132,1,0
0.53644,0.74228,0,0.771305,0.333725,0.00208495,0.0408461,0,1
0.65556,0.54488,0,0.796949,0.0350906,0.00203155,0.260416,0,1
0.58394,0.75796,0,0.878285,0.173533,0.000971045,0.0835728,0,1
0.60994,0.7245,0,0.898402,0.137976,0.000793159,0.103401,0,1
0.41838,0.48431,0,0.013435,0.324697,0.426171,0.0266338,-1,0
0.67595,0.65747,0,0.911863,0.0983144,0.000684523,0.137149,0,1
0.43456,0.78813,0,0.220019,0.902707,0.0246315,0.00331274,1,0
0.53768,0.65875,0,0.75214,0.306242,0.00234793,0.0446085,0,1
0.64283,0.65776,0,0.904689,0.106907,0.000746661,0.127714,0,1
0.62244,0.75377,0,0.906315,0.129654,0.000723492,0.109607,0,1
0.54101,0.57793,0,0.656797,0.182564,0.00396762,0.0718533,0,1
0.65398,0.58727,0,0.872168,0.0682601,0.00108826,0.174111,0,1
0.7921,0.50436,0,0.683703,0.0126554,0.00403918,0.435247,0,0
0.46853,0.51832,0,0.0858514,0.321722,0.0867772,0.0316373,-1,0
0.49956,0.72565,0,0.571856,0.589691,0.00527886,0.0166295,-1,0
0.6739,0.60701,0,0.893438,0.0781522,0.000867396,0.160316,0,1
0.45222,0.51022,0,0.0487203,0.362036,0.152252,0.0261585,-1,0
0.67041,0.60003,0,0.888042,0.0744206,0.000922646,0.165445,0,1
0.72506,0.59418,0,0.89178,0.0674684,0.000890777,0.177923,0,1
0.43458,0.78616,0,0.219915,0.902689,0.0246473,0.0033131,1,0
0.54685,0.53293,0,0.505902,0.073484,0.00811486,0.143839,-1,0
0.60425,0.5657,0,0.802625,0.0651981,0.0018918,0.173359,0,1
0.41873,0.6698,0,0.158736,0.920575,0.0368992,0.00267953,1,0
0.49882,0.63418,0,0.511434,0.550595,0.00688886,0.0184685,-1,0
0.67777,0.75074,0,0.919727,0.108957,0.000610442,0.127621,0,1
0.70479,0.6556,0,0.914685,0.0944223,0.000660574,0.141812,0,1
0.57257,0.45805,0,0.201919,0.00504332,0.040128,0.573762,-1,0
0.64853,0.51986,0,0.697714,0.019331,0.00368506,0.354493,0,1
0.67661,0.65379,0,0.911229,0.0972233,0.00069072,0.138244,0,1
0.67023,0.72244,0,0.91771,0.108962,0.00062825,0.127358,0,1
0.63857,0.69266,0,0.908597,0.115857,0.000707535,0.120281,0,1
0.43194,0.66985,0,0.190064,0.900238,0.0298485,0.00333389,1,0
0.555,0.6349,0,0.795874,0.215121,0.00184353,0.0653073,0,1
0.80522,0.60484,0,0.902791,0.0737395,0.000780464,0.168441,0,1
0.63814,0.51395,0,0.657247,0.0168408,0.00451849,0.376858,0,1
0.6043,0.55466,0,0.77551,0.0538988,0.00227351,0.195588,0,1
0.66085,0.52379,0,0.725369,0.020978,0.00318,0.341972,0,1
0.66729,0.55252,0,0.822268,0.0399972,0.00169374,0.2426,0,1
0.82362,0.67227,0,0.920772,0.0951022,0.000605979,0.141886,0,1
0.62409,0.61262,0,0.879211,0.0950865,0.000997113,0.137064,0,1
0.58011,0.6426,0,0.853158,0.157391,0.00123026,0.0894955,0,1
0.65837,0.44885,0,0.292207,0.00212836,0.025294,0.737367,3,0
