I-0,I-1,Desired,O-0,O-1,O-2,O-3,O-4,O-5,Actual,Correct
0.62991,0.59299,0,0.218077,0.840861,0.00833631,5.41991e-06,1.7058e-06,1.62485e-05,1,0
0.70498,0.51304,0,0.884475,0.0892605,0.00050412,6.40631e-06,1.85233e-05,0.00597318,0,1
0.59324,0.47611,0,0.42916,0.281863,4.55752e-05,0.000154452,0.000177891,0.226903,-1,0
0.81026,0.50163,0,0.98869,9.15804e-05,0.00122435,2.7586e-06,2.32743e-06,0.00110229,0,1
0.73882,0.5802,0,0.806668,0.178182,0.00785633,1.63765e-06,2.15661e-06,1.87223e-05,0,1
0.64236,0.45542,0,0.572552,0.0651887,4.29942e-06,1.98145e-05,6.14809e-05,0.435721,-1,0
0.64027,0.38805,0,0.0749128,0.00262006,2.36906e-09,4.95528e-06,3.40431e-05,0.936593,5,0
0.68567,0.49349,0,0.840896,0.0868137,0.000127068,9.39254e-06,2.82501e-05,0.0324192,0,1
0.70266,0.59837,0,0.537015,0.561273,0.00881947,1.46901e-06,1.38547e-06,6.55597e-06,-1,0
0.66895,0.42536,0,0.487065,0.00534751,2.22637e-07,5.59128e-06,2.46017e-05,0.666433,5,0
0.70407,0.63803,0,0.32525,0.701928,0.0132688,5.30274e-07,6.0448e-07,6.73931e-07,1,0
0.71174,0.56683,0,0.764632,0.312871,0.00468713,2.73017e-06,3.86852e-06,6.98895e-05,0,1
0.77539,0.59137,0,0.871727,0.0476585,0.0133737,1.10874e-06,1.02214e-06,5.60737e-06,0,1
0.6284,0.53049,0,0.518289,0.625821,0.00109461,2.69915e-05,1.58565e-05,0.00289341,1,0
0.57584,0.58606,0,0.0962852,0.849982,0.0173332,3.93461e-05,4.03439e-06,3.04378e-05,1,0
0.5355,0.53905,0,0.131056,0.602641,0.0193882,0.0018302,0.000117316,0.000692045,1,0
0.8159,0.46634,0,0.987755,6.20328e-06,0.00014003,1.98328e-06,1.09227e-06,0.00389273,0,1
0.6515,0.52542,0,0.661833,0.480059,0.000769276,1.56688e-05,1.73574e-05,0.00404988,0,0
0.67266,0.52661,0,0.756807,0.34962,0.000837646,9.74086e-06,1.58796e-05,0.00306562,0,1
0.69835,0.40806,0,0.492643,0.000428447,5.17559e-08,2.11339e-06,7.57395e-06,0.638468,5,0
0.48998,0.47484,0,0.107204,0.0559922,0.0013985,0.0930743,0.0426372,0.0245695,-1,0
0.55329,0.66669,0,0.0113203,0.881568,0.058311,3.5325e-06,2.40752e-06,9.34975e-07,1,0
0.78349,0.40057,0,0.878044,6.28922e-07,1.64287e-07,6.38514e-07,4.22027e-07,0.102406,0,1
0.64947,0.42535,0,0.380805,0.0116132,1.88641e-07,9.1288e-06,4.17854e-05,0.753684,5,0
0.63741,0.4913,0,0.650121,0.281717,9.40418e-05,2.95812e-05,4.81173e-05,0.07111,0,1
0.56731,0.47722,0,0.334606,0.281365,0.000100435,0.000609034,0.000494001,0.187674,-1,0
0.80486,0.46867,0,0.98487,1.65504e-05,0.000134211,2.17144e-06,1.64678e-06,0.00508921,0,1
0.82939,0.64486,0,0.807489,0.0117031,0.0348294,3.91282e-07,8.65737e-08,1.07825e-07,0,1
0.87444,0.47679,0,0.996582,1.94374e-07,0.000873462,1.87096e-06,2.07408e-07,0.000464774,0,1
0.79055,0.60295,0,0.868956,0.0302989,0.0182104,8.59236e-07,5.60023e-07,2.08247e-06,0,1
0.6018,0.61077,0,0.0956879,0.883522,0.0148038,6.30187e-06,1.44013e-06,6.5878e-06,1,0
0.73528,0.46516,0,0.926292,0.00165763,2.7701e-05,3.70231e-06,1.08861e-05,0.0497521,0,1
0.78165,0.43892,0,0.956924,1.13327e-05,6.8087e-06,1.51474e-06,1.5836e-06,0.0326229,0,1
0.5884,0.51967,0,0.360225,0.633619,0.00113124,0.000144828,4.24091e-05,0.00749789,1,0
0.57927,0.55371,0,0.192359,0.784052,0.0066819,9.94663e-05,1.15598e-05,0.000344894,1,0
0.74942,0.44236,0,0.917028,0.000148164,4.77743e-06,2.19324e-06,4.60793e-06,0.0826707,0,1
0.7143,0.41253,0,0.638567,0.000211192,1.14715e-07,1.81977e-06,5.41804e-06,0.476104,0,0
0.68041,0.44733,0,0.711853,0.0110202,2.48596e-06,6.79106e-06,2.64178e-05,0.355612,0,1
0.71865,0.37587,0,0.266442,1.8042e-05,2.38612e-09,7.95283e-07,1.55876e-06,0.720411,5,0
0.61853,0.43513,0,0.322079,0.0437945,5.59147e-07,3.10115e-05,0.000119021,0.756191,5,0
0.79045,0.56704,0,0.951952,0.0086404,0.00993383,1.68727e-06,1.7636e-06,2.95832e-05,0,1
0.61996,0.36541,0,0.0108761,0.00226533,1.46502e-10,6.08991e-06,6.91389e-05,0.973367,5,0
0.78749,0.44319,0,0.96576,9.97477e-06,1.1401e-05,1.57684e-06,1.49039e-06,0.0230166,0,1
0.70935,0.59902,0,0.56786,0.512446,0.00918161,1.35583e-06,1.33957e-06,5.92494e-06,-1,0
0.79122,0.48147,0,0.981932,0.00010523,0.000257158,2.7004e-06,3.22221e-06,0.00464593,0,1
0.78274,0.40971,0,0.907025,1.26374e-06,4.06203e-07,7.87092e-07,5.94568e-07,0.0806542,0,1
0.63428,0.39085,0,0.0764239,0.00366469,3.20219e-09,6.37356e-06,4.54886e-05,0.937205,5,0
0.71858,0.54611,0,0.862937,0.156207,0.00254329,3.68747e-06,7.6015e-06,0.000368886,0,1
0.64626,0.51403,0,0.668416,0.421711,0.000414358,2.04314e-05,2.53677e-05,0.0111961,0,0
0.76927,0.50904,0,0.971574,0.00238987,0.000914647,3.35427e-06,7.17274e-06,0.00214558,0,1
0.62049,0.40985,0,0.145766,0.0128186,3.06325e-08,1.62618e-05,9.91948e-05,0.901854,5,0
0.84884,0.50199,0,0.994924,5.56491e-06,0.00245151,2.53102e-06,6.87501e-07,0.00038219,0,1
0.7253,0.55851,0,0.846126,0.171005,0.00405704,2.78966e-06,4.91409e-06,0.000123272,0,1
0.68576,0.53051,0,0.798273,0.28439,0.00106786,7.2979e-06,1.37014e-05,0.00193326,0,1
0.72869,0.46454,0,0.91442,0.00238063,2.35894e-05,3.98465e-06,1.25123e-05,0.0612556,0,1
0.7425,0.53017,0,0.936827,0.0309487,0.0017198,3.58626e-06,9.24501e-06,0.000925299,0,1
0.6524,0.53373,0,0.634799,0.534722,0.00115455,1.35411e-05,1.30069e-05,0.00193194,0,0
0.8349,0.59016,0,0.964197,0.00115533,0.0260133,1.16348e-06,3.35098e-07,3.10141e-06,0,1
0.72871,0.40168,0,0.625542,4.04713e-05,4.88995e-08,1.17326e-06,2.54893e-06,0.449825,0,0
0.6599,0.49303,0,0.749888,0.188223,0.000106622,1.61942e-05,3.6513e-05,0.0492944,0,1
0.61423,0.42264,0,0.213606,0.0265198,1.41298e-07,2.80181e-05,0.000137449,0.852591,5,0
0.68769,0.55456,0,0.716899,0.431447,0.00283431,4.75662e-06,6.1361e-06,0.000240281,0,0
0.7098,0.52449,0,0.883079,0.111238,0.000950298,5.44429e-06,1.43103e-05,0.0023405,0,1
0.76627,0.48821,0,0.969879,0.000909981,0.00025778,3.33799e-06,7.03029e-06,0.0070054,0,1
0.7435,0.45557,0,0.927841,0.000534453,1.41489e-05,2.94519e-06,7.42121e-06,0.0593346,0,1
0.71929,0.37778,0,0.290816,1.90999e-05,2.97841e-09,8.16328e-07,1.62002e-06,0.704733,5,0
0.70582,0.51591,0,0.883842,0.0960254,0.000593552,6.20397e-06,1.75124e-05,0.00476793,0,1
0.69219,0.53856,0,0.799048,0.291053,0.00157748,5.86623e-06,1.05525e-05,0.000916487,0,1
0.71476,0.4603,0,0.878062,0.00412307,1.31728e-05,4.5635e-06,1.58091e-05,0.10613,0,1
0.7576,0.51104,0,0.962831,0.0055164,0.000852466,3.62362e-06,9.12136e-06,0.0024888,0,1
0.73674,0.39348,0,0.594717,1.36012e-05,2.46556e-08,8.92143e-07,1.51753e-06,0.4458,-1,0
0.64197,0.47505,0,0.648695,0.150911,2.56688e-05,2.46652e-05,5.69183e-05,0.188103,0,1
0.70514,0.54744,0,0.817212,0.250756,0.00241778,4.23844e-06,7.68066e-06,0.00037981,0,1
0.63446,0.61445,0,0.162527,0.864211,0.01114,2.52085e-06,1.05502e-06,4.27945e-06,1,0
0.66248,0.44059,0,0.579245,0.0161047,1.0596e-06,8.95938e-06,3.58429e-05,0.536516,-1,0
0.57137,0.52122,0,0.286043,0.629672,0.00197867,0.000327699,6.36942e-05,0.00571552,1,0
0.68572,0.55368,0,0.711808,0.441077,0.00272849,4.98674e-06,6.33212e-06,0.000263253,0,0
0.6746,0.49553,0,0.805542,0.13649,0.000135473,1.16609e-05,3.07776e-05,0.0337344,0,1
0.81052,0.54205,0,0.982877,0.000774222,0.00664156,2.30297e-06,2.02824e-06,0.000122587,0,1
0.71715,0.51277,0,0.910218,0.0524786,0.000560159,5.42928e-06,1.65499e-05,0.00496607,0,1
0.56447,0.47999,0,0.32823,0.298169,0.000140133,0.000721799,0.000512127,0.15319,-1,0
0.69125,0.37011,0,0.101411,8.66815e-05,6.56977e-10,1.07553e-06,3.41407e-06,0.879371,5,0
0.71355,0.48159,0,0.903028,0.0145072,7.27172e-05,5.72354e-06,1.99709e-05,0.0381015,0,1
0.61455,0.53796,0,0.40871,0.705339,0.00178686,3.64063e-05,1.29653e-05,0.00150358,1,0
0.80746,0.43,0,0.970622,8.44421e-07,5.21302e-06,1.0244e-06,5.22002e-07,0.0179627,0,1
0.68094,0.37346,0,0.0920255,0.000190103,7.66744e-10,1.37221e-06,5.40124e-06,0.899486,5,0
0.70982,0.46736,0,0.878751,0.00810733,2.2452e-05,5.36275e-06,1.91084e-05,0.0865721,0,1
0.66633,0.4742,0,0.752608,0.0746975,2.55285e-05,1.30181e-05,3.95741e-05,0.143592,0,1
0.72194,0.5702,0,0.78956,0.250987,0.00548497,2.3009e-06,3.33036e-06,4.85085e-05,0,1
0.68974,0.34425,0,0.0187824,3.46143e-05,3.73677e-11,7.57372e-07,1.81823e-06,0.93397,5,0
0.69467,0.57006,0,0.669316,0.472426,0.00467917,3.12651e-06,3.51521e-06,6.11684e-05,0,0
0.75401,0.50726,0,0.960582,0.00567086,0.000662369,3.77197e-06,9.93216e-06,0.00338675,0,1
0.7192,0.53762,0,0.883605,0.118423,0.00184536,4.14637e-06,9.7014e-06,0.000731294,0,1
0.60431,0.42518,0,0.201905,0.0349443,2.08684e-07,4.50601e-05,0.000212031,0.847585,5,0
0.5742,0.43446,0,0.184289,0.0616432,1.0872e-06,0.000251817,0.000951848,0.779343,5,0
0.63968,0.61349,0,0.180807,0.855927,0.0107194,2.34833e-06,1.05381e-06,4.31988e-06,1,0
0.7802,0.41078,0,0.904446,1.65596e-06,4.25748e-07,8.24931e-07,6.69976e-07,0.0851878,0,1
0.71073,0.534,0,0.869403,0.145909,0.00147671,4.8192e-06,1.12611e-05,0.00108842,0,1
0.66016,0.59921,0,0.316171,0.785326,0.00828043,2.49751e-06,1.38916e-06,8.70532e-06,1,0
0.6579,0.49383,0,0.741838,0.202891,0.000112286,1.69841e-05,3.67784e-05,0.0478112,0,1
0.76457,0.53491,0,0.958099,0.0110531,0.00273031,2.90564e-06,6.09229e-06,0.000454869,0,1
0.6727,0.54466,0,0.690821,0.478154,0.00187399,7.35937e-06,8.72414e-06,0.000638447,0,0
0.6839,0.49859,0,0.835691,0.113045,0.000176852,9.66936e-06,2.72544e-05,0.023611,0,1
0.73068,0.56325,0,0.846508,0.158688,0.00486516,2.43583e-06,4.0642e-06,7.91227e-05,0,1
0.65634,0.45135,0,0.618603,0.0351612,3.0161e-06,1.26472e-05,4.50092e-05,0.431294,0,0
0.69874,0.43338,0,0.715813,0.00195241,7.81667e-07,3.68147e-06,1.37573e-05,0.391379,0,1
0.70108,0.44591,0,0.792358,0.00367645,2.83793e-06,4.50963e-06,1.66769e-05,0.256302,0,1
0.76365,0.5367,0,0.955926,0.0126021,0.00288737,2.86493e-06,5.98162e-06,0.00040731,0,1
0.70215,0.51921,0,0.871108,0.124078,0.000683975,6.37329e-06,1.68882e-05,0.00392425,0,1
0.72615,0.5952,0,0.675122,0.349418,0.00948724,1.29061e-06,1.41255e-06,6.72574e-06,0,1
0.70543,0.5406,0,0.838679,0.21021,0.0018646,4.70779e-06,9.53903e-06,0.000672923,0,1
0.71916,0.44172,0,0.839626,0.00101353,2.53509e-06,3.15442e-06,1.00699e-05,0.196744,0,1
0.6413,0.56503,0,0.406396,0.746293,0.00395858,9.08799e-06,4.04702e-06,0.000129006,1,0
0.77546,0.56633,0,0.934594,0.0205213,0.00819233,1.77355e-06,2.31309e-06,3.77695e-05,0,1
0.73143,0.49084,0,0.936419,0.0090469,0.000177831,4.71562e-06,1.51817e-05,0.0149285,0,1
0.78782,0.46091,0,0.975479,3.41956e-05,5.23524e-05,2.15535e-06,2.3596e-06,0.0118789,0,1
0.57257,0.42936,0,0.153951,0.0495537,6.32531e-07,0.000249717,0.0011242,0.817123,5,0
0.7348,0.54245,0,0.908497,0.0714639,0.00257573,3.30646e-06,7.54152e-06,0.000407399,0,1
0.58267,0.35766,0,0.00250937,0.00396944,7.42979e-11,2.91439e-05,0.000824129,0.978421,5,0
0.864,0.57863,0,0.986753,8.9862e-05,0.0322914,1.54319e-06,2.21983e-07,4.72934e-06,0,1
0.78573,0.44104,0,0.962631,9.73947e-06,9.03325e-06,1.53085e-06,1.48076e-06,0.0263569,0,1
0.83057,0.63526,0,0.84986,0.00797746,0.034739,4.78237e-07,1.01661e-07,1.74087e-07,0,1
0.76622,0.45244,0,0.953891,9.11541e-05,1.66738e-05,2.23012e-06,3.68344e-06,0.033248,0,1
0.80296,0.46842,0,0.984179,1.87328e-05,0.000126893,2.18676e-06,1.74037e-06,0.00546007,0,1
0.68731,0.60596,0,0.411487,0.691044,0.00938114,1.43023e-06,1.15776e-06,4.50332e-06,1,0
0.66156,0.60696,0,0.285838,0.798316,0.00929546,1.96371e-06,1.15506e-06,5.26148e-06,1,0
0.73166,0.52143,0,0.928593,0.0375621,0.00102295,4.31445e-06,1.23435e-05,0.00208587,0,1
0.68355,0.48639,0,0.831041,0.0695725,7.52097e-05,9.66163e-06,3.03452e-05,0.0530169,0,1
0.71138,0.34641,0,0.0454867,7.9789e-06,8.56755e-11,5.73152e-07,8.18317e-07,0.873592,5,0
0.58998,0.49474,0,0.425917,0.443597,0.000217026,0.000177509,0.000111431,0.0635417,-1,0
0.75852,0.50189,0,0.964892,0.00324699,0.000525164,3.66253e-06,9.10074e-06,0.00416278,0,1
0.80018,0.41659,0,0.950027,5.4758e-07,1.21486e-06,7.94014e-07,4.26259e-07,0.0355697,0,1
0.72192,0.45608,0,0.886765,0.00211944,1.01544e-05,3.87961e-06,1.26267e-05,0.105993,0,1
0.7718,0.38272,0,0.715868,4.80231e-07,1.98262e-08,4.9761e-07,3.28601e-07,0.233422,0,1
0.64506,0.4428,0,0.504559,0.032878,1.21331e-06,1.48524e-05,5.53529e-05,0.592808,-1,0
0.80365,0.43868,0,0.97389,2.13121e-06,1.07217e-05,1.27649e-06,7.73382e-07,0.0154032,0,1
0.76468,0.59006,0,0.847901,0.0778461,0.0118125,1.17346e-06,1.22295e-06,6.88638e-06,0,1
0.73895,0.57422,0,0.83198,0.153453,0.00689218,1.84774e-06,2.64681e-06,3.00387e-05,0,1
0.82371,0.52477,0,0.990144,0.000126405,0.00444489,2.58976e-06,1.65527e-06,0.00025248,0,1
0.77596,0.50459,0,0.975915,0.00121116,0.000802876,3.23708e-06,6.11485e-06,0.00233553,0,1
0.69673,0.49505,0,0.871499,0.0603141,0.000155692,7.73157e-06,2.47867e-05,0.0240363,0,1
0.75888,0.449,0,0.941798,0.000120919,1.062e-05,2.24978e-06,4.17962e-06,0.0479813,0,1
0.59791,0.60158,0,0.105822,0.875478,0.013953,9.83306e-06,1.81137e-06,1.12255e-05,1,0
0.64933,0.58218,0,0.352379,0.775223,0.00606188,4.86582e-06,2.25343e-06,3.13454e-05,1,0
0.64718,0.55022,0,0.5241,0.66069,0.00233799,1.1194e-05,7.0533e-06,0.00045455,1,0
0.81888,0.53569,0,0.987269,0.000314466,0.00612299,2.42239e-06,1.76435e-06,0.000152998,0,1
0.82171,0.55224,0,0.983464,0.000570021,0.010482,2.04003e-06,1.27844e-06,5.21321e-05,0,1
0.69043,0.52772,0,0.821675,0.234504,0.000960817,6.99685e-06,1.46175e-05,0.00231705,0,1
0.85264,0.43904,0,0.991072,6.21754e-08,3.07417e-05,9.48321e-07,1.63875e-07,0.00292772,0,1
0.66572,0.46096,0,0.709521,0.0409483,7.96676e-06,1.15321e-05,3.94428e-05,0.27138,0,1
0.74363,0.4039,0,0.733678,1.60997e-05,8.75695e-08,1.02785e-06,1.71821e-06,0.309366,0,1
0.73912,0.48919,0,0.945755,0.00532599,0.000178059,4.30255e-06,1.30501e-05,0.0135802,0,1
0.68385,0.48415,0,0.830075,0.0623166,6.37947e-05,9.53015e-06,3.05237e-05,0.060468,0,1
0.70173,0.46195,0,0.846432,0.00906407,1.26387e-05,5.71835e-06,2.0927e-05,0.133965,0,1
0.68674,0.40878,0,0.426428,0.000865127,4.56657e-08,2.64257e-06,1.07564e-05,0.707557,5,0
0.67167,0.49075,0,0.794071,0.124922,9.52038e-05,1.24036e-05,3.34348e-05,0.0487634,0,1
0.76099,0.58246,0,0.865519,0.0745246,0.00997335,1.38766e-06,1.64335e-06,1.27112e-05,0,1
0.64805,0.37655,0,0.0464577,0.00118066,6.51665e-10,3.08022e-06,2.04905e-05,0.947405,5,0
0.69871,0.64466,0,0.276551,0.745478,0.0134586,4.64339e-07,5.73136e-07,5.37049e-07,1,0
0.71797,0.57065,0,0.77201,0.284354,0.00540018,2.36804e-06,3.32401e-06,4.8385e-05,0,1
0.59818,0.48572,0,0.462876,0.357438,9.19116e-05,0.000125135,0.000117766,0.1249,-1,0
0.74184,0.46886,0,0.93918,0.00138279,4.18083e-05,3.58702e-06,9.91139e-06,0.0349921,0,1
0.72381,0.61494,0,0.542129,0.471428,0.0121427,8.23745e-07,8.31612e-07,1.85253e-06,-1,0
0.60287,0.49264,0,0.48501,0.410107,0.000144281,0.000100813,8.50047e-05,0.0760861,-1,0
0.79664,0.56976,0,0.954861,0.00652808,0.0113785,1.59864e-06,1.44869e-06,2.2276e-05,0,1
0.73334,0.56141,0,0.860184,0.136426,0.00472211,2.46362e-06,4.25525e-06,8.95847e-05,0,1
0.75672,0.54214,0,0.943315,0.0233655,0.00323358,2.80078e-06,5.91273e-06,0.000306265,0,1
0.68046,0.56657,0,0.615409,0.558574,0.00404204,4.1345e-06,3.95476e-06,9.06002e-05,0,0
0.57662,0.49397,0,0.371712,0.433447,0.000289872,0.000349051,0.000178444,0.0625622,-1,0
0.73695,0.57091,0,0.838329,0.15239,0.00626412,2.00121e-06,3.00664e-06,3.99338e-05,0,1
0.72057,0.59297,0,0.661909,0.385674,0.00883193,1.41872e-06,1.55085e-06,8.29532e-06,0,1
0.83591,0.33174,0,0.590418,3.28525e-10,9.76139e-10,1.49492e-07,8.47779e-09,0.101955,-1,0
0.67664,0.64656,0,0.195214,0.824894,0.013037,5.31474e-07,6.13649e-07,6.33964e-07,1,0
0.60417,0.56728,0,0.224355,0.819345,0.00607031,2.4584e-05,4.47832e-06,0.000119019,1,0
0.75215,0.40386,0,0.776416,8.57048e-06,1.06829e-07,9.34137e-07,1.30933e-06,0.247749,0,1
0.6566,0.67192,0,0.0935054,0.885385,0.0140076,3.14237e-07,5.69996e-07,3.37509e-07,1,0
0.75966,0.48504,0,0.964604,0.00116855,0.000186706,3.46173e-06,8.01632e-06,0.00982464,0,1
0.77578,0.57954,0,0.90755,0.0319911,0.0109358,1.39658e-06,1.50417e-06,1.36291e-05,0,1
0.70543,0.3653,0,0.116198,2.70268e-05,5.45132e-10,7.97155e-07,1.79054e-06,0.842106,5,0
0.65372,0.60697,0,0.253558,0.819173,0.00940368,2.22587e-06,1.1642e-06,5.60932e-06,1,0
0.78222,0.55278,0,0.959621,0.00810389,0.0062149,2.14471e-06,3.03003e-06,9.53181e-05,0,1
0.68764,0.36382,0,0.0638813,8.26851e-05,3.01447e-10,1.02657e-06,3.29535e-06,0.905349,5,0
0.81168,0.52935,0,0.986448,0.000381001,0.0043712,2.56594e-06,2.27184e-06,0.00025685,0,1
0.6333,0.47195,0,0.599498,0.160363,2.00127e-05,3.14519e-05,6.85017e-05,0.2402,-1,0
0.75861,0.5517,0,0.933738,0.0304315,0.00453749,2.42208e-06,4.50685e-06,0.00014451,0,1
0.72772,0.46792,0,0.916701,0.00308913,3.07144e-05,4.19877e-06,1.34336e-05,0.0537896,0,1
0.70362,0.53057,0,0.856728,0.168926,0.00120029,5.53551e-06,1.28072e-05,0.00156884,0,1
0.77651,0.4599,0,0.96789,7.27555e-05,3.85012e-05,2.3068e-06,3.25353e-06,0.0178349,0,1
0.84835,0.49971,0,0.994885,5.02759e-06,0.0021611,2.50549e-06,6.81256e-07,0.00042382,0,1
0.70554,0.43892,0,0.777818,0.00188174,1.52844e-06,3.67519e-06,1.31477e-05,0.293599,0,1
0.6369,0.46777,0,0.602625,0.126818,1.36901e-05,2.71055e-05,6.61972e-05,0.284222,0,1
0.78201,0.56894,0,0.939209,0.0154603,0.00938384,1.66413e-06,1.9256e-06,2.85393e-05,0,1
0.75399,0.47052,0,0.954326,0.000698992,5.88652e-05,3.22321e-06,7.5557e-06,0.0228763,0,1
0.71773,0.4427,0,0.838529,0.00117553,2.71923e-06,3.27969e-06,1.0656e-05,0.196944,0,1
0.68057,0.49307,0,0.82505,0.102275,0.000118765,1.03516e-05,2.98684e-05,0.0363039,0,1
